asset,inner_window,zscore_lookback,forward_days,n_orders,spearman_r,spearman_p,n
SPY,40,120,10,4,-0.038491681391559236,0.0026019224941549006,6118
SPY,40,120,20,3,-0.07823992868278372,9.190168140267722e-10,6108
SPY,40,120,20,4,-0.016599272035658703,0.19459049183481333,6108
SPY,40,252,2,3,-0.07590563186024558,4.005925318346629e-09,5994
SPY,40,252,2,4,-0.06992015166044105,6.000494866998449e-08,5994
SPY,40,252,3,3,-0.10328648514780854,1.0955998781382363e-15,5993
SPY,40,252,3,4,-0.09380899304668497,3.420619773817014e-13,5993
SPY,40,252,5,3,-0.12076940183319301,6.588617501234343e-21,5991
SPY,40,252,5,4,-0.10351484254682856,9.580099372743144e-16,5991
SPY,40,252,10,3,-0.12656764788584518,8.365886429293684e-23,5986
SPY,40,252,10,4,-0.10498275250381182,3.848056715731276e-16,5986
SPY,40,252,20,3,-0.11993364436897777,1.364376010342737e-20,5976
SPY,40,252,20,4,-0.08759557564757238,1.1757128238632609e-11,5976
XLK,5,60,2,3,-0.04447334431409167,0.00045014802552932566,6221
XLK,5,60,2,4,-0.04566656788615949,0.0003145298322084451,6221
XLK,5,60,3,3,-0.05457531970675025,1.658317439163857e-05,6220
XLK,5,60,3,4,-0.05892446982301882,3.3145013201528246e-06,6220
XLK,5,60,5,3,-0.06388278098222727,4.6173070593227295e-07,6218
XLK,5,60,5,4,-0.08105438132745925,1.5463131091635557e-10,6218
XLK,5,60,10,3,-0.0704878279089281,2.669547893490911e-08,6213
XLK,5,60,10,4,-0.08629404548968514,9.540946812942917e-12,6213
XLK,5,60,20,3,-0.0651522965891887,2.8100494891254114e-07,6203
XLK,5,60,20,4,-0.07899523246976539,4.66200538156561e-10,6203
XLK,5,120,2,3,-0.06484140358387827,3.5084215513602906e-07,6161
XLK,5,120,2,4,-0.0692624070045633,5.2691512254993945e-08,6161
XLK,5,120,3,3,-0.07709538917882097,1.3724855495611459e-09,6160
XLK,5,120,3,4,-0.08676682902033195,9.01338438429297e-12,6160
XLK,5,120,5,3,-0.08882273957952312,2.8982964712431673e-12,6158
XLK,5,120,5,4,-0.11019963939430458,4.2327011233578445e-18,6158
XLK,5,120,10,3,-0.09827490113670069,1.1104093161618987e-14,6153
XLK,5,120,10,4,-0.11810140630872401,1.4767600117498675e-20,6153
XLK,5,120,20,3,-0.09283150047720044,3.09617146071547e-13,6143
XLK,5,120,20,4,-0.11088546662020382,2.8814408202394783e-18,6143
XLK,5,252,2,3,-0.07736574412341132,1.7993046072887187e-09,6029
XLK,5,252,2,4,-0.07498652940426224,5.560944278181079e-09,6029
XLK,5,252,3,3,-0.09676398577893967,5.1173810553684506e-14,6028
XLK,5,252,3,4,-0.1028647508141635,1.184733357559499e-15,6028
XLK,5,252,5,3,-0.11348111819700969,9.924027996824494e-19,6026
XLK,5,252,5,4,-0.13440356853976498,1.0810762901860022e-25,6026
XLK,5,252,10,3,-0.12945274401636087,6.418541091539626e-24,6021
XLK,5,252,10,4,-0.14826204315989985,6.127824911253932e-31,6021
XLK,5,252,20,3,-0.1328264818587294,4.557366646090863e-25,6011
XLK,5,252,20,4,-0.15008662988138574,1.2712167176788062e-31,6011
XLK,10,60,2,3,-0.03419901370640432,0.007006148119249934,6216
XLK,10,60,2,4,-0.01774296032429716,0.1618992503660172,6216
XLK,10,60,3,3,-0.041620252733620154,0.0010310799495225785,6215
XLK,10,60,3,4,-0.024118613387805965,0.057263838826307346,6215
XLK,10,60,5,3,-0.05393687573522775,2.1028111771985967e-05,6213
XLK,10,60,5,4,-0.037078541469483445,0.003466280555557506,6213
XLK,10,60,10,3,-0.05822172089222637,4.42588674205101e-06,6208
XLK,10,60,10,4,-0.041718327009453486,0.0010097629476025986,6208
XLK,10,60,20,3,-0.07414266812882209,5.098506431130105e-09,6198
XLK,10,60,20,4,-0.05580987413031555,1.101090190167254e-05,6198
XLK,10,120,2,3,-0.06686831577587546,1.510191039794902e-07,6156
XLK,10,120,2,4,-0.050366288603778064,7.70308329950172e-05,6156
XLK,10,120,3,3,-0.08403408392184411,4.0254856171602924e-11,6155
XLK,10,120,3,4,-0.06261617380404866,8.819338344344498e-07,6155
XLK,10,120,5,3,-0.09954579608847525,5.02291905296243e-15,6153
XLK,10,120,5,4,-0.07867400189495118,6.426499688725491e-10,6153
XLK,10,120,10,3,-0.1087500790733801,1.2240751619872045e-17,6148
XLK,10,120,10,4,-0.08908091519936764,2.610250081237961e-12,6148
XLK,10,120,20,3,-0.11452026014270977,2.258629766515652e-19,6138
XLK,10,120,20,4,-0.0938552492429836,1.7334176119777117e-13,6138
XLK,10,252,2,3,-0.09322456083554076,4.1719679228928173e-13,6024
XLK,10,252,2,4,-0.07731183419202466,1.8752185131361823e-09,6024
XLK,10,252,3,3,-0.12440065684516269,3.3206619446034865e-22,6023
XLK,10,252,3,4,-0.1046676397171646,3.8326642936184403e-16,6023
